,parsed_line,heading_bool,source_paper,math_bool,latin_numbered_bool,numberic_numbered_bool
0,"Abstract
",True,1802,False,False,True
1,"1 Introduction
",True,1802,False,False,True
2,"2.1 Concepts, Notation, and Training
",True,1802,False,False,True
3,"2.2 Generative Sequence Models
",True,1802,False,False,True
4,"2.3 Overﬁtting in Machine Learning
",True,1802,False,False,True
221,"Abstract : With introducing and developing AI logic, this science as a branch of computer science could impact 
",True,188130647,False,False,False
222,"I. INTRODUCTION  
",True,188130647,False,False,False
223,"II. ARTIFICIAL INTELLIGENCE  (AI) 
",True,188130647,False,False,False
224,"III. INTELLIGENT SYSTEM  (IS) 
",True,188130647,False,False,False
225,"IV. EXPERT SYTEMS (ESs)  
",True,188130647,False,False,False
226,"V. APPLICATION IS / AI / ES IN THE LIBRARY SYSTEM   
",True,188130647,False,False,False
227,"VII. FINDING  
",True,188130647,False,False,False
617,"Abstract.  Falls are some of the most common sources of injury among the el-
",True,2012_Book_AmbientIntelligence,False,False,True
618,"1 Introduction 
",True,2012_Book_AmbientIntelligence,False,False,True
619,"2 Related Work 
",True,2012_Book_AmbientIntelligence,False,False,True
620,"3 Sensor Equipment 
",True,2012_Book_AmbientIntelligence,False,False,True
621,"4 System Architecture 
",True,2012_Book_AmbientIntelligence,False,False,True
622,"5 Data Preproces s
",True,2012_Book_AmbientIntelligence,False,False,True
623,"5.1 Inertial Data 
",True,2012_Book_AmbientIntelligence,False,False,True
624,"3-axis gyroscope data. It 
",True,2012_Book_AmbientIntelligence,False,False,True
625,"5.2 Location Data 
",True,2012_Book_AmbientIntelligence,False,False,True
626,"15 cm, but in practice it m a
",True,2012_Book_AmbientIntelligence,False,False,True
627,"6 Context Compo
",True,2012_Book_AmbientIntelligence,False,False,True
628,"5 
",True,2012_Book_AmbientIntelligence,False,False,True
629,"6.1 Body Accelerations 
",True,2012_Book_AmbientIntelligence,False,False,True
1141,"Article Info   ABSTRACT  
",True,29020-59012-1-PB,False,False,True
1142,"1. INTRODUCTION  
",True,29020-59012-1-PB,False,False,True
1143,"2. LIERATURE REVIEW  
",True,29020-59012-1-PB,False,False,True
1144,"3. METHODS  
",True,29020-59012-1-PB,False,False,True
1145,"3.1.  Classification and Weka Workbench  
",True,29020-59012-1-PB,False,False,True
1146,"3.2.  The implemented models  
",True,29020-59012-1-PB,False,False,True
1147,"4. COMPUTA TIONAL RESULTS AND DISCUSSION  
",True,29020-59012-1-PB,False,False,True
1148,"4.1.  The implemented  models  
",True,29020-59012-1-PB,False,False,True
1149,"5. EXPERIMENTAL DATASETS  
",True,29020-59012-1-PB,False,False,True
1150,"6. EXPERIMENTAL RESULTS  
",True,29020-59012-1-PB,False,False,True
1572,"Abstract. Generated hateful and toxic content by a portion of users
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1573,"1 Introduction
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1574,"2 Previous Works
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1575,"3 Methodology
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1576,"3.1 Fine-Tuning Strategies
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1577,"4 Experiments and Results
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1578,"4.1 Dataset Description
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1579,"4.2 Pre-Processing
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1580,"4.3 Implementation and Results Analysis
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1581,"4.4 Error Analysis
",True,A BERT-Based Transfer Learning Approach for,False,False,True
1582,"5 Conclusion
",True,A BERT-Based Transfer Learning Approach for,False,False,True
2110,"1 INTRODUCTION
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2111,"Abstractingwithcreditispermitted.Tocopyotherwise,orrepublish,topostonserversortoredistributetolists,requires
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2112,"4EmpiricalMethods inNaturalLanguageProcessing.
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2113,"6AAAI Conferenceon Artificial Intelligence.
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2114,"2.2 Deep-learning in NLP
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2115,"3 FROM IMAGETO TEXT
",True,Adversarial Attacks on Deep-learning Models in Natural,False,False,True
2469,Abstract ,True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2470,"I.  INTRODUCTION  
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2471,"II. R
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2472,"III. S
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2473,"IV. P
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2474,"V. EXPERIMENTS  
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
2475,"VI. C
",True,AnalysisOfShoppingBehaviorBasedOnSurveilanceSystem,False,False,False
3026,Abstract ,True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3027,"I. I NTRODUCTION
",True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3028,"II. I NSTRUMENTATION AMPLIFIER DESIGN
",True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3029,"III. M EASUREMENTS
",True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3030,"IV. D ISCUSSION
",True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3031,"V. C ONCLUSIONS
",True,A_Broadband_High_Common_Mode_Rejection_Ratio_Instrumentation_Amplifier,False,False,False
3357,"ABSTRACT Face recognition technology is a biometric technology, which is based on the identication of
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3358,"I. INTRODUCTION
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3359,"II. THE DEVELOPMENT STAGE OF FACE RECOGNITION
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3360,"IV. COMMON EVALUATION CRITERIA OF
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3361,"V. IMAGE EVALUATION SETS AND DATABASES
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3362,"VI. CONCLUSION
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3363,"VII. FUTURE WORK
",True,A_Review_of_Face_Recognition_Technology,False,False,False
3364,"I. Alvarez, ``NMF-SVM based CAD tool applied to functional brain
",True,A_Review_of_Face_Recognition_Technology,False,False,False
4353,"Abstract   
",True,ChatbotsInABotnetWorld,False,False,True
4354,"1. Introduction  
",True,ChatbotsInABotnetWorld,False,False,True
4355,"2. Methods  
",True,ChatbotsInABotnetWorld,False,False,True
4356,"3. Results  
",True,ChatbotsInABotnetWorld,False,False,True
4357,"3.1. Self-replication and self -modification  
",True,ChatbotsInABotnetWorld,False,False,True
4358,"3.2.  Execution and Coding Exercises  
",True,ChatbotsInABotnetWorld,False,False,True
4359,"3.4.  Creativity, Strategic 
",True,ChatbotsInABotnetWorld,False,False,True
4360,"4. Discussion  
",True,ChatbotsInABotnetWorld,False,False,True
4361,"5. Concl usions  
",True,ChatbotsInABotnetWorld,False,False,True
4722,"Abstract
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4723,"1 Introduction
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4724,"2 Related Work
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4725,"2.1 Feature Engineering for he CWI Task
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4726,"2.2 CNNs in NLP
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4727,"3 Feature-Engineering Approach
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4728,"4 Deep-Learning Approach
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4729,"4.1 Preprocessing
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4730,"4.2 Architecture of our Network
",True,Complex Word Identification Convolutional Neural Network vs Feature Engineering,False,False,True
4976,"DOI 10.1515/TLR.2006.009 c/circlecopyrtWalter de GruyterAbstract
",True,conninePinnow,False,False,True
4977,"two classes of models, abstract and episodic, that have been proposed for spo-ken word recognition. Abstract theories rely on inference processes and/or un-derspeciﬁed representations to account for spoken word recognition. Episodic
",True,conninePinnow,False,False,True
4978,"1. Introduction
",True,conninePinnow,False,False,True
4979,"2.1. Word-ﬁnal /t, d/-deletion
",True,conninePinnow,False,False,True
4980,"2.2. Word medial ﬂap
",True,conninePinnow,False,False,True
4981,"2.3. Schwa deletion
",True,conninePinnow,False,False,True
4982,"2.4. Nasal ﬂap
",True,conninePinnow,False,False,True
4983,"3. Learning phonological variants
",True,conninePinnow,False,False,True
4984,"4. Conclusions
",True,conninePinnow,False,False,True
4985,"space that represents individual occurrences of a segment. Abstractions across
",True,conninePinnow,False,False,True
4986,"Luce, Paul, Connor MacLennan, and Jan Charles-Luce (2003). Abstractness and speciﬁcity in
",True,conninePinnow,False,False,True
5266,"ABSTRACT Sarcasm is a complicated linguistic term commonly found in e-commerce and social media
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5267,"I. INTRODUCTION
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5268,"II. LITERATURE SURVEY
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5269,"III. AUTOMATIC SARCASM IDENTIFICATION
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5270,"IV. EXPERIMENTAL DESIGNS
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5271,"V. EXPERIMENTAL RESULTS AND DISCUSSIONS
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
5272,"VI. CONCLUSION
",True,Context-Based_Feature_Technique_for_Sarcasm_Identification_in_Benchmark_Datasets_Using_Deep_Learning_and_BERT_Model,False,False,False
6819,Abstract ,True,Cross-Lingual Transfer Learning for Complex word Identification,False,False,False
6820,"I. I NTRODUCTION
",True,Cross-Lingual Transfer Learning for Complex word Identification,False,False,False
6821,"II. R
",True,Cross-Lingual Transfer Learning for Complex word Identification,False,False,False
6822,"III. M
",True,Cross-Lingual Transfer Learning for Complex word Identification,False,False,False
6823,"V. C
",True,Cross-Lingual Transfer Learning for Complex word Identification,False,False,False
7184,"ABSTRACT
",True,DeepSonar,False,False,True
7185,"must be honored. Abstracting with credit is permitted. To copy otherwise, or republish,
",True,DeepSonar,False,False,True
7186,"1 INTRODUCTION
",True,DeepSonar,False,False,True
7187,"2 RELATED WORK
",True,DeepSonar,False,False,True
7188,"2.1 Voice Synthesis
",True,DeepSonar,False,False,True
7189,"2.2 Fake Voice Detection
",True,DeepSonar,False,False,True
7190,"3 METHOD
",True,DeepSonar,False,False,True
7191,"3.1 Insight
",True,DeepSonar,False,False,True
7192,"3.2 Overview of DeepSonar Framework
",True,DeepSonar,False,False,True
7193,"3.3 Layer-wise Neuron Behaviors
",True,DeepSonar,False,False,True
7194,"3.4 Neuron Coverage Criteria Design
",True,DeepSonar,False,False,True
7195,"3.5 Fake Voice Detection
",True,DeepSonar,False,False,True
7196,"4 EXPERIMENTAL SETTING AND
",True,DeepSonar,False,False,True
7197,"4.1 Dataset
",True,DeepSonar,False,False,True
7726,Abstract,True,DennisVlaar_Paper,False,False,False
7727,"I. INTRODUCTION  
",True,DennisVlaar_Paper,False,False,False
7728,"II. RELATED WORK  
",True,DennisVlaar_Paper,False,False,False
7729,"III. METHODS  
",True,DennisVlaar_Paper,False,False,False
7730,"IV. RESULTS  
",True,DennisVlaar_Paper,False,False,False
7731,"V. DISCUSSION  
",True,DennisVlaar_Paper,False,False,False
8209,"1 Introduction
",True,dijkstra2002,False,False,True
8210,"1Third, the
",True,dijkstra2002,False,False,True
8211,"2.6 Simulating language of previous item effects
",True,dijkstra2002,False,False,True
8212,"3 Limitations and problems of the BIA model
",True,dijkstra2002,False,False,True
8213,"4 The BIA+ model for bilingual word recognition
",True,dijkstra2002,False,False,True
8214,"2The system-
",True,dijkstra2002,False,False,True
8215,"4.3 Language nodes
",True,dijkstra2002,False,False,True
8216,"3The automatically operating word identi®-
",True,dijkstra2002,False,False,True
8217,"4.5 Non-linguistic context effects
",True,dijkstra2002,False,False,True
8832,"Abstract
",True,DNNvsSecondGraders,False,False,True
8833,"1. Introduction
",True,DNNvsSecondGraders,False,False,True
8834,"2The answer to the puzzle in Figure 1 is: C.
",True,DNNvsSecondGraders,False,False,True
8835,"2. Related works
",True,DNNvsSecondGraders,False,False,True
8836,"3. Proposed approach
",True,DNNvsSecondGraders,False,False,True
9079,"Abstract. We explore possibilities for enhancing the generality, por ta-
",True,Emotion Recognition from Speech by Combining,False,False,True
9080,"1 Introduction
",True,Emotion Recognition from Speech by Combining,False,False,True
9081,"2 Methods and Materials
",True,Emotion Recognition from Speech by Combining,False,False,True
9082,"4 Experiment 2 - Fusion of Classiﬁers
",True,Emotion Recognition from Speech by Combining,False,False,True
9083,"5 Conclusions
",True,Emotion Recognition from Speech by Combining,False,False,True
9341,"availableattheendofthearticleAbstract
",True,Evaluating effects of focal length and viewing angle,False,False,True
9342,"1 Introduction
",True,Evaluating effects of focal length and viewing angle,False,False,True
9343,"2 Methodofcomparison
",True,Evaluating effects of focal length and viewing angle,False,False,True
9344,"2.1 Landmarkschemes
",True,Evaluating effects of focal length and viewing angle,False,False,True
9345,"2.2 Evaluationmetrics
",True,Evaluating effects of focal length and viewing angle,False,False,True
9346,"2.3 Camerapositionandfocallength
",True,Evaluating effects of focal length and viewing angle,False,False,True
9347,"2.4 Facelandmarkandalignmentmethods
",True,Evaluating effects of focal length and viewing angle,False,False,True
9348,"3 Procedure
",True,Evaluating effects of focal length and viewing angle,False,False,True
9349,"4 Resultsanddiscussion
",True,Evaluating effects of focal length and viewing angle,False,False,True
9350,"3DSTN,e3D-Fan,and faverageresultforallalgorithms
",True,Evaluating effects of focal length and viewing angle,False,False,True
9351,"5C o n c l u s i o n
",True,Evaluating effects of focal length and viewing angle,False,False,True
9910,Abstract ,True,Expressive_TTS_Training_With_Frame_and_Style_Reconstruction_Loss,False,False,False
9911,"I. I NTRODUCTION
",True,Expressive_TTS_Training_With_Frame_and_Style_Reconstruction_Loss,False,False,False
9912,"II. B ACKGROUND AND RELATED WORK
",True,Expressive_TTS_Training_With_Frame_and_Style_Reconstruction_Loss,False,False,False
9913,"III. T ACOTRON WITHFRAME AND STYLE RECONSTRUCTION
",True,Expressive_TTS_Training_With_Frame_and_Style_Reconstruction_Loss,False,False,False
9914,"V. C ONCLUSION
",True,Expressive_TTS_Training_With_Frame_and_Style_Reconstruction_Loss,False,False,False
11130,Abstract,True,GPT-paper,False,False,False
11131,"I. INTRODUCTION   
",True,GPT-paper,False,False,False
11132,"II. MEHODOLOGY  
",True,GPT-paper,False,False,False
11133,"III. RESULTS  
",True,GPT-paper,False,False,False
11134,"IV. CONCLUSION AND D ISCUSSION  
",True,GPT-paper,False,False,False
11181,"Abstract   
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11182,"1. Introduction  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11183,"2. Datasets  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11184,"2.1. Training/Test data  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11185,"2.2. ALeXs Dataset  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11186,"3. Methods and system description  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11187,"3.1. Pre-processing  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11188,"3.2. Supervised c lassification approach  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11189,"4. Results  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11190,"5. Conclusions and future work  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11191,"6. Acknowledgements  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11192,"7. References  
",True,Hulat - ALexS CWI Task - CWI for Language and Learning,False,False,True
11472,Abstract ,True,i0671,False,False,True
11473,"1I NTRODUCTION
",True,i0671,False,False,True
11474,"2W IDTH-FIRST-SEARCH TREESTRUCTURE
",True,i0671,False,False,True
11475,"2.1 Related Works
",True,i0671,False,False,True
11476,"2.2 WFS Tree-Structured Detector
",True,i0671,False,False,True
11477,"3V ECTOR BOOSTING ALGORITHM
",True,i0671,False,False,True
11478,"3.1 AdaBoost Algorithm
",True,i0671,False,False,True
11479,"3.2 Vector Boosting Algorithm
",True,i0671,False,False,True
11830,Abstract ,True,icst,False,False,False
11831,"I.  INTRODUCTION  
",True,icst,False,False,False
11832,"II. S
",True,icst,False,False,False
11833,"III. S
",True,icst,False,False,False
11834,"IV. S
",True,icst,False,False,False
11835,"V. D
",True,icst,False,False,False
12172,Abstract,True,ieee_sinefit,False,False,False
12173,"I. INTRODUCTION
",True,ieee_sinefit,False,False,False
12174,"II. T
",True,ieee_sinefit,False,False,False
12175,"III. THEESTIMATION ALGORITHM
",True,ieee_sinefit,False,False,False
12176,"IV. COMPUTER SIMULATION
",True,ieee_sinefit,False,False,False
12177,"V. CONCLUSION
",True,ieee_sinefit,False,False,False
12467,"Abstract: For an organization to be customer centric and service oriented requires that it use each
",True,ijerph-18-05686-v2,False,False,True
12468,"1. Introduction
",True,ijerph-18-05686-v2,False,False,True
12469,"2.1. Self-Health Management Services
",True,ijerph-18-05686-v2,False,False,True
12470,"2.2. Civic Engagement Services
",True,ijerph-18-05686-v2,False,False,True
12471,"2.3. Caregiver Engagement Services
",True,ijerph-18-05686-v2,False,False,True
12472,"2.4. Community Engagement Services
",True,ijerph-18-05686-v2,False,False,True
12473,"3.1. Increase Value Cycle Frequency
",True,ijerph-18-05686-v2,False,False,True
12474,"3.4. Building an Agile Digital Platform
",True,ijerph-18-05686-v2,False,False,True
12475,"3.4. Building an Agile Digital Platform 
",True,ijerph-18-05686-v2,False,False,True
